Key,Id,English(en),Portuguese (Brazil)(pt-BR)
"Location_Wasteland",735651774382080,"Wasteland","Terra Arrasada"
"Location_Campsite_Goblins",3835554264301568,"Goblin's Campsite","Acampamento dos Goblins"
"Location_Village",0,"Village","Vila"
"Location_Market",0,"Market Square","Praça do Mercado"
"Location_BanditCamp",0,"Bandit Camp","Acampamento Bandido"
"Location_ShadowHideout",0,"Shadow Hideout","Esconderijo das Sombras"
"Location_GuardBarracks",0,"Guard Barracks","Quartel da Guarda"
"Location_RitualSite",0,"Ritual Site","Local do Ritual"
"Location_ForestRoad",0,"Forest Road","Estrada da Floresta"
"Location_AncientRuins",0,"Ancient Ruins","Ruínas Antigas"
