Key,Id,English(en),Portuguese (Brazil)(pt-BR)
"Location_Wasteland",735651774382080,"Wasteland","Terra Arrasada"
"Location_Campsite_Goblins",3835554264301568,"Goblin's Campsite","Acampamento dos Goblins"
"Location_Village",0,"Village","Vila"
"Location_Market",0,"Market Square","Praça do Mercado"
"Location_BanditCamp",0,"Bandit Camp","Acampamento Bandido"
"Quest_Description_MQ001_GoblinsBane",736338700713984,"A merchant on the road to town has been waylaid by a band of goblins. He managed to escape with his life, but they made off with his prized satchel of goods. He's asking for a capable adventurer to clear out the goblin menace and, if possible, recover his lost property.","Um mercador na estrada para a cidade foi assaltado por um bando de goblins. Ele conseguiu escapar com vida, mas eles fugiram com sua preciosa sacola de mercadorias. Ele pede a um aventureiro capaz que elimine a ameaça goblin e, se possível, recupere seus bens perdidos."
"Quest_Name_MQ001_GoblinsBane",736137437036544,"Goblin's Bane","Perdição dos Goblins"
"Quest_Name_SQ001_MerchantsStolenGoods",0,"The Merchant's Stolen Goods","Os Bens Roubados do Mercador"
"Quest_Description_SQ001_MerchantsStolenGoods",0,"A traveling merchant's goods have been stolen by bandits while passing through the forest. Help recover the stolen cargo and bring the culprits to justice.","Os bens de um mercador viajante foram roubados por bandidos enquanto passavam pela floresta. Ajude a recuperar a carga roubada e leve os culpados à justiça."
"Quest_Location_SQ001_MerchantsStolenGoods",0,"Forest Road","Estrada da Floresta"
"QuestType_Completed",734280610267136,"Completed Quests","Missões Completas"
"QuestType_Failed",735193919963136,"Failed Quests","Missões Falhadas"
"QuestType_Main",735317442215936,"Main Quests","Missões Principais"
"QuesType_Special",735424451493888,"Special Quests","Missões Especiais"
"QuestType_Secondary",5682838304243712,"Secondary Quests","Missões Secundárias"
"Task_Name_InvestigateAttacks",0,"Investigate the Attacks ({current}/{required})","Investigar os Ataques ({current}/{required})"
"Task_Description_InvestigateAttacks",0,"Examine the clues left behind by the goblin attacks ({current}/{required})","Examine as pistas deixadas pelos ataques dos goblins ({current}/{required})"
"Task_Name_TrackGoblinCamp",0,"Track the Goblin Camp","Rastrear o Acampamento Goblin"
"Task_Description_TrackGoblinCamp",0,"Follow the trail to find the goblin hideout","Siga a trilha para encontrar o esconderijo dos goblins"
"Task_Description_FindGoblinsCampsite",3834205569073152,"Follow the trail of discarded goods to find the source of the goblin attacks. It seems they're operating from an old, abandoned campsite.","Siga a trilha de mercadorias descartadas para encontrar a origem dos ataques dos goblins. Parece que eles estão operando a partir de um antigo acampamento abandonado."
"Task_Description_KillGoblins",3443382889267200,"The merchant's satchel is nowhere to be found, but the camp is crawling with goblins. You'll need to clear them out before their numbers become a real threat.","A sacola do mercador não foi encontrada em lugar nenhum, mas o acampamento está infestado de goblins. Você precisará eliminá-los antes que seus números se tornem uma ameaça real."
"Task_Name_FindLocation",3825140356923392,"Find the {object} in {location}","Encontre {object} em {location}"
"Task_Name_Kill_Count_Target",1815936309968896,"Kill {current}/{required} {target}","Mate {current}/{required} {target}"
"Task_Name_DefeatGoblinChief",0,"Defeat the Goblin Chief ({remaining})","Derrotar o Chefe Goblin ({remaining})"
"Task_Description_DefeatGoblinChief",0,"Defeat the chief before time runs out! ({time}s remaining)","Derrote o chefe antes do tempo acabar! ({time}s restantes)"
"Task_Name_ReturnToVillage",0,"Return to Village","Retornar à Vila"
"Task_Description_ReturnToVillage",0,"Report your victory to the village elder","Relate sua vitória ao ancião da vila"
"Task_Name_TalkToMerchant",0,"Talk to the Merchant","Falar com o Mercador"
"Task_Description_TalkToMerchant",0,"Speak with the distraught merchant about the robbery","Converse com o mercador aflito sobre o roubo"
"Task_Name_SearchCrimeScene",0,"Search the Crime Scene ({current}/{required})","Investigar a Cena do Crime ({current}/{required})"
"Task_Description_SearchCrimeScene",0,"Look for clues at the robbery site ({current}/{required})","Procure pistas no local do roubo ({current}/{required})"
"Task_Name_FollowTheTrail",0,"Follow the Trail","Seguir a Trilha"
"Task_Description_FollowTheTrail",0,"Track the bandits to their hideout","Rastreie os bandidos até seu esconderijo"
"Task_Name_RecoverGoods",0,"Recover the Stolen Goods ({current}/{required})","Recuperar os Bens Roubados ({current}/{required})"
"Task_Description_RecoverGoods",0,"Collect the stolen crates ({current}/{required})","Colete as caixas roubadas ({current}/{required})"
"Task_Name_InterrogateBanditLeader",0,"Interrogate the Bandit Leader","Interrogar o Líder Bandido"
"Task_Description_InterrogateBanditLeader",0,"Learn the bandit leader's name","Descubra o nome do líder bandido"
"Task_Name_ReturnToMerchant",0,"Return to the Merchant","Retornar ao Mercador"
"Task_Description_ReturnToMerchant",0,"Deliver the recovered goods to the grateful merchant","Entregue os bens recuperados ao mercador agradecido"
"Quest_Name_TheBanditsEmployer",0,"The Bandit's Employer","O Empregador dos Bandidos"
"Quest_Description_TheBanditsEmployer",0,"The bandits were hired by someone. Investigate who is behind the theft and bring them to justice.","Os bandidos foram contratados por alguém. Investigue quem está por trás do roubo e leve-os à justiça."
"Quest_Location_TheBanditsEmployer",0,"Bandit Camp","Acampamento Bandido"
"Quest_Name_TheGoblinConspiracy",0,"The Goblin Conspiracy","A Conspiração Goblin"
"Quest_Description_TheGoblinConspiracy",0,"A dark cult is manipulating both bandits and goblins. Uncover their plans and stop the ritual before it's too late.","Um culto sombrio está manipulando tanto bandidos quanto goblins. Descubra seus planos e pare o ritual antes que seja tarde demais."
"Quest_Location_TheGoblinConspiracy",0,"Ancient Ruins","Ruínas Antigas"
"Location_ShadowHideout",0,"Shadow Hideout","Esconderijo das Sombras"
"Location_GuardBarracks",0,"Guard Barracks","Quartel da Guarda"
"Location_RitualSite",0,"Ritual Site","Local do Ritual"
"Task_Name_ReturnToBanditCamp",0,"Return to the Bandit Camp","Retornar ao Acampamento Bandido"
"Task_Description_ReturnToBanditCamp",0,"Search the camp for evidence about who hired the bandits","Procure no acampamento por evidências de quem contratou os bandidos"
"Task_Name_SearchForEvidence",0,"Search for Evidence ({current}/{required})","Procurar Evidências ({current}/{required})"
"Task_Description_SearchForEvidence",0,"Find the payment ledger and sealed orders ({current}/{required})","Encontre o livro de pagamentos e as ordens seladas ({current}/{required})"
"Task_Name_InterrogateBanditAgain",0,"Interrogate the Bandit Leader Again","Interrogar o Líder Bandido Novamente"
"Task_Description_InterrogateBanditAgain",0,"Confront the captured bandit with the evidence","Confronte o bandido capturado com as evidências"
"Task_Name_FindTheContact",0,"Find the Contact","Encontrar o Contato"
"Task_Description_FindTheContact",0,"Track down the mysterious contact at the Shadow Hideout","Rastreie o contato misterioso no Esconderijo das Sombras"
"Task_Name_ReportToCaptain",0,"Report to the Guard Captain","Relatar ao Capitão da Guarda"
"Task_Description_ReportToCaptain",0,"Share your findings with the guard captain","Compartilhe suas descobertas com o capitão da guarda"
"Task_Name_InvestigateConnection",0,"Investigate the Connection ({current}/{required})","Investigar a Conexão ({current}/{required})"
"Task_Description_InvestigateConnection",0,"Find evidence linking the bandits and goblins ({current}/{required})","Encontre evidências ligando os bandidos aos goblins ({current}/{required})"
