Key,Id,English(en),Portuguese (Brazil)(pt-BR)
"Task_Name_InvestigateAttacks",0,"Investigate the Attacks ({current}/{required})","Investigar os Ataques ({current}/{required})"
"Task_Description_InvestigateAttacks",0,"Examine the clues left behind by the goblin attacks ({current}/{required})","Examine as pistas deixadas pelos ataques dos goblins ({current}/{required})"
"Task_Name_TrackGoblinCamp",0,"Track the Goblin Camp","Rastrear o Acampamento Goblin"
"Task_Description_TrackGoblinCamp",0,"Follow the trail to find the goblin hideout","Siga a trilha para encontrar o esconderijo dos goblins"
"Task_Description_FindGoblinsCampsite",3834205569073152,"Follow the trail of discarded goods to find the source of the goblin attacks. It seems they're operating from an old, abandoned campsite.","Siga a trilha de mercadorias descartadas para encontrar a origem dos ataques dos goblins. Parece que eles estão operando a partir de um antigo acampamento abandonado."
"Task_Description_KillGoblins",3443382889267200,"The merchant's satchel is nowhere to be found, but the camp is crawling with goblins. You'll need to clear them out before their numbers become a real threat.","A sacola do mercador não foi encontrada em lugar nenhum, mas o acampamento está infestado de goblins. Você precisará eliminá-los antes que seus números se tornem uma ameaça real."
"Task_Name_FindLocation",3825140356923392,"Find the {object} in {location}","Encontre {object} em {location}"
"Task_Name_Kill_Count_Target",1815936309968896,"Kill {current}/{required} {target}","Mate {current}/{required} {target}"
"Task_Name_DefeatGoblinChief",0,"Defeat the Goblin Chief ({remaining})","Derrotar o Chefe Goblin ({remaining})"
"Task_Description_DefeatGoblinChief",0,"Defeat the chief before time runs out! ({time}s remaining)","Derrote o chefe antes do tempo acabar! ({time}s restantes)"
"Task_Name_ReturnToVillage",0,"Return to Village","Retornar à Vila"
"Task_Description_ReturnToVillage",0,"Report your victory to the village elder","Relate sua vitória ao ancião da vila"
"Task_Name_TalkToMerchant",0,"Talk to the Merchant","Falar com o Mercador"
"Task_Description_TalkToMerchant",0,"Speak with the distraught merchant about the robbery","Converse com o mercador aflito sobre o roubo"
"Task_Name_SearchCrimeScene",0,"Search the Crime Scene ({current}/{required})","Investigar a Cena do Crime ({current}/{required})"
"Task_Description_SearchCrimeScene",0,"Look for clues at the robbery site ({current}/{required})","Procure pistas no local do roubo ({current}/{required})"
"Task_Name_FollowTheTrail",0,"Follow the Trail","Seguir a Trilha"
"Task_Description_FollowTheTrail",0,"Track the bandits to their hideout","Rastreie os bandidos até seu esconderijo"
"Task_Name_RecoverGoods",0,"Recover the Stolen Goods ({current}/{required})","Recuperar os Bens Roubados ({current}/{required})"
"Task_Description_RecoverGoods",0,"Collect the stolen crates ({current}/{required})","Colete as caixas roubadas ({current}/{required})"
"Task_Name_InterrogateBanditLeader",0,"Interrogate the Bandit Leader","Interrogar o Líder Bandido"
"Task_Description_InterrogateBanditLeader",0,"Learn the bandit leader's name","Descubra o nome do líder bandido"
"Task_Name_ReturnToMerchant",0,"Return to the Merchant","Retornar ao Mercador"
"Task_Description_ReturnToMerchant",0,"Deliver the recovered goods to the grateful merchant","Entregue os bens recuperados ao mercador agradecido"
"Task_Name_ReturnToBanditCamp",0,"Return to the Bandit Camp","Retornar ao Acampamento Bandido"
"Task_Description_ReturnToBanditCamp",0,"Search the camp for evidence about who hired the bandits","Procure no acampamento por evidências de quem contratou os bandidos"
"Task_Name_SearchForEvidence",0,"Search for Evidence ({current}/{required})","Procurar Evidências ({current}/{required})"
"Task_Description_SearchForEvidence",0,"Find the payment ledger and sealed orders ({current}/{required})","Encontre o livro de pagamentos e as ordens seladas ({current}/{required})"
"Task_Name_InterrogateBanditAgain",0,"Interrogate the Bandit Leader Again","Interrogar o Líder Bandido Novamente"
"Task_Description_InterrogateBanditAgain",0,"Confront the captured bandit with the evidence","Confronte o bandido capturado com as evidências"
"Task_Name_FindTheContact",0,"Find the Contact","Encontrar o Contato"
"Task_Description_FindTheContact",0,"Track down the mysterious contact at the Shadow Hideout","Rastreie o contato misterioso no Esconderijo das Sombras"
"Task_Name_ReportToCaptain",0,"Report to the Guard Captain","Relatar ao Capitão da Guarda"
"Task_Description_ReportToCaptain",0,"Share your findings with the guard captain","Compartilhe suas descobertas com o capitão da guarda"
"Task_Name_InvestigateConnection",0,"Investigate the Connection ({current}/{required})","Investigar a Conexão ({current}/{required})"
"Task_Description_InvestigateConnection",0,"Find evidence linking the bandits and goblins ({current}/{required})","Encontre evidências ligando os bandidos aos goblins ({current}/{required})"
"Task_Name_MeetTheInformant",0,"Meet the Informant","Encontrar o Informante"
"Task_Description_MeetTheInformant",0,"Speak with the mysterious informant about the cult","Fale com o informante misterioso sobre o culto"
"Task_Name_InfiltrateCultMeeting",0,"Infiltrate the Cult Meeting","Infiltrar a Reunião do Culto"
"Task_Description_InfiltrateCultMeeting",0,"Sneak into the ancient ruins where the cult gathers","Entre furtivamente nas ruínas antigas onde o culto se reúne"
"Task_Name_StopTheRitual",0,"Stop the Ritual ({current}/{required})","Parar o Ritual ({current}/{required})"
"Task_Description_StopTheRitual",0,"Defeat the cultists before they complete the ritual ({current}/{required})","Derrote os cultistas antes que completem o ritual ({current}/{required})"
"Task_Name_ReturnWithEvidence",0,"Return with Evidence","Retornar com Evidências"
"Task_Description_ReturnWithEvidence",0,"Bring proof of the conspiracy to the village elder","Leve provas da conspiração ao ancião da vila"
